file,folder,slides,ships,hard,advisory,hard_codes,advisory_codes,dims,fonts_offending,colors_offending,tier_slides,diagnostic_slides,markers_present,teacher_prep,concept_bank,links_slide,teacher_note,day_dividers,n_aspects,critical_aspects,move1_pass,move1_verdict,coordination,coordination_candidates,conditional_types,visibility_declared,bank_relates,what_if,slide_types_ordered
▶ LIVE — Cycle 09 (review) — Cell Membrane & Transport.pptx,Cycle 09 — Cell Membrane & Transport (Unit 2),37,False,5,8,H-FORMAT-FONT; H-FORMAT-HEX; H-FORMAT-SCALE; H-CONCEPT-BANK; H-TEACHER-NOTE,A-PALETTE-DRIFT; A-LINKS-UNLISTED; A-TN-ITEMS; A-MOVE1-NO-DIFF; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-WHATIF,9144000x6858000,Calibri,1A1A1A,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,1,0,1,0,3,2,Selective permeability | Bilayer structure,False,"S8: comparison, named alternatives ;; S18: NO DIFFERENCE",stock-and-flow model (slide 9),,Stock-and-flow model (slide 9),False,False,1,Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > What if > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Build a Rule > Relates to me > Day divider > Links slide > Image credits
▶ LIVE — Cycle 10 — Enzymes — with Concept Bank.pptx,Cycle 10 — Enzymes (Unit 2),35,False,1,6,H-TEACHER-NOTE,A-TN-ITEMS; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-BANK-NO-RELATE; A-WHATIF,9144000x6858000,,,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,1,1,1,0,3,2,"Enzymes lower activation energy and aren't used up | Shape, specificity, and denaturing",True,"S8: comparison, change condition ;; S18: comparison",stock-and-flow model (slide 9),,Stock-and-flow model (slide 9),False,False,1,Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Activity > Activity > Activity > What if > Content/Explanation > Relates to me > Concept Bank > Day divider > Closing checklist > Links slide > Image credits
▶ LIVE — Cycle 10 — Enzymes.pptx,Cycle 10 — Enzymes (Unit 2),34,False,2,5,H-CONCEPT-BANK; H-TEACHER-NOTE,A-TN-ITEMS; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-WHATIF,9144000x6858000,,,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,1,0,1,0,3,2,"Enzymes lower activation energy and aren't used up | Shape, specificity, and denaturing",True,"S8: comparison, change condition ;; S18: comparison",stock-and-flow model (slide 9),,Stock-and-flow model (slide 9),False,False,1,Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Activity > Activity > Activity > What if > Content/Explanation > Relates to me > Day divider > Closing checklist > Links slide > Image credits
▶ LIVE — Cycle 11 — The Cell Cycle to Cancer — with Concept Bank.pptx,Cycle 11 — The Cell Cycle → Cancer (Unit 2),34,False,2,6,H-FORMAT-FONT; H-TEACHER-NOTE,A-TN-ITEMS; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-BANK-NO-RELATE; A-WHATIF,9144000x6858000,Calibri,,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,1,1,1,0,3,2,Checkpoints control the cycle | Cancer = regulation failure,True,"S8: comparison ;; S18: comparison, change condition",stock-and-flow model (slide 9),,Stock-and-flow model (slide 9),False,False,1,Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Content/Explanation > Content/Explanation > Content/Explanation > What if > Optional challenge > Relates to me > Concept Bank > Day divider > Links slide > Image credits
▶ LIVE — Cycle 11 — The Cell Cycle to Cancer.pptx,Cycle 11 — The Cell Cycle → Cancer (Unit 2),33,False,3,5,H-FORMAT-FONT; H-CONCEPT-BANK; H-TEACHER-NOTE,A-TN-ITEMS; A-CA-NOT-DECLARED; A-COND-NO-REASON; A-VISIBILITY; A-WHATIF,9144000x6858000,Calibri,,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,1,0,1,0,3,2,Checkpoints control the cycle | Cancer = regulation failure,True,"S8: comparison ;; S18: comparison, change condition",stock-and-flow model (slide 9),,Stock-and-flow model (slide 9),False,False,1,Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Stock-and-flow model > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Content/Explanation > Content/Explanation > Content/Explanation > What if > Optional challenge > Relates to me > Day divider > Links slide > Image credits
"Cycle 12 — Meiosis (VT deck, rebuilt) — with Concept Bank.pptx",Cycle 12 — Meiosis (Unit 3),32,False,4,5,H-FORMAT-FONT; H-FORMAT-SCALE; H-LINKS-SLIDE; H-TEACHER-NOTE,A-TN-ITEMS; A-NO-FUSION; A-CA-NOT-DECLARED; A-VISIBILITY; A-BANK-NO-RELATE,9144000x6858000,Calibri,,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,2,1,0,0,3,2,"Two divisions, two different separations | One diploid cell becomes four unique haploid cells",True,"S10: comparison, change condition ;; S18: comparison",,,,False,False,1,Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Content/Explanation > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > What if > Optional challenge > Relates to me > Concept Bank > Day divider > Teacher Prep > Image credits
"▶ LIVE — Cycle 12 — The Process of Meiosis (VT deck, rebuilt).pptx",Cycle 12 — Meiosis (Unit 3),31,False,5,4,H-FORMAT-FONT; H-FORMAT-SCALE; H-CONCEPT-BANK; H-LINKS-SLIDE; H-TEACHER-NOTE,A-TN-ITEMS; A-NO-FUSION; A-CA-NOT-DECLARED; A-VISIBILITY,9144000x6858000,Calibri,,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,2,0,0,0,3,2,"Two divisions, two different separations | One diploid cell becomes four unique haploid cells",True,"S10: comparison, change condition ;; S18: comparison",,,,False,False,1,Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Content/Explanation > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > What if > Optional challenge > Relates to me > Day divider > Teacher Prep > Image credits
▶ LIVE — Cycle 13— Mendelian Genetics — with Concept Bank.pptx,Cycle 13 — Mendelian Genetics (Unit 3),33,False,2,7,H-FORMAT-FONT; H-TEACHER-NOTE,A-PALETTE-DRIFT; A-TN-ITEMS; A-MOVE1-NO-DIFF; A-NO-FUSION; A-CA-NOT-DECLARED; A-VISIBILITY; A-BANK-NO-RELATE,9144000x6858000,Calibri,999999,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,1,1,1,0,3,2,Genotype vs. phenotype | One allele per parent (chance),False,"S8: NO DIFFERENCE ;; S18: comparison, named alternatives",,,,False,False,1,Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Content/Explanation > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > What if > Optional challenge > Optional challenge > Relates to me > Concept Bank > Day divider > Closing checklist > Links slide > Image credits
▶ LIVE — Cycle 13— Mendelian Genetics.pptx,Cycle 13 — Mendelian Genetics (Unit 3),32,False,3,6,H-FORMAT-FONT; H-CONCEPT-BANK; H-TEACHER-NOTE,A-PALETTE-DRIFT; A-TN-ITEMS; A-MOVE1-NO-DIFF; A-NO-FUSION; A-CA-NOT-DECLARED; A-VISIBILITY,9144000x6858000,Calibri,999999,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,1,0,1,0,3,2,Genotype vs. phenotype | One allele per parent (chance),False,"S8: NO DIFFERENCE ;; S18: comparison, named alternatives",,,,False,False,1,Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Content/Explanation > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > What if > Optional challenge > Optional challenge > Relates to me > Day divider > Closing checklist > Links slide > Image credits
▶ LIVE — Cycle 14 — DNA Structure & Replication — with Concept Bank.pptx,Cycle 14 — DNA Structure & Replication (Unit 3),33,False,2,6,H-FORMAT-FONT; H-TEACHER-NOTE,A-PALETTE-DRIFT; A-TN-ITEMS; A-NO-FUSION; A-CA-NOT-DECLARED; A-VISIBILITY; A-BANK-NO-RELATE,9144000x6858000,Calibri,999999,2,12,Critical aspect; Pattern break; Build-a-rule; What-if,1,1,1,0,3,2,Each strand is a template | Semiconservative replication,True,S8: comparison ;; S18: named alternatives,,,,False,False,1,Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Contrast Set > Content/Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Content/Explanation > Day divider > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > What if > Optional challenge > Optional challenge > Relates to me > Concept Bank > Day divider > Closing checklist > Links slide > Image credits
